"","logFC","logCPM","PValue","FDR"
"Solyc08g074680.2.1",1.82044042150585,7.75259540431662,2.29091563734594e-05,0.000168827162339715
"Solyc10g045640.1.1",1.82041661597943,4.55209165583984,3.24212677346734e-08,4.80475647998154e-07
"Solyc08g005090.1.1",1.81975345460892,2.39485633078067,5.63333426400934e-08,7.89458285587283e-07
"Solyc06g072510.2.1",1.81921547046903,6.97854292048529,3.94982211713215e-08,5.7531980437542e-07
"Solyc07g040730.1.1",1.81588097206358,5.70280580626853,1.31153187298319e-09,2.54981802526334e-08
"Solyc08g067630.2.1",1.81528369509939,2.8131432038962,1.52657916412912e-06,1.53332979878661e-05
"Solyc07g020880.1.1",1.81486381595026,-0.798261022324403,0.00191839191849753,0.00753980281004829
"Solyc02g068740.2.1",1.81478673291046,7.50886541405677,1.38005540549473e-06,1.40149849745261e-05
"Solyc01g088480.2.1",1.81475518752287,5.83105710629622,4.30297176518072e-08,6.21627677991253e-07
"Solyc07g032730.2.1",1.81444707242914,5.48209178597068,3.62866754647489e-06,3.2932656119019e-05
"Solyc03g006450.1.1",1.81428989342204,2.4469188443572,7.59532942278806e-08,1.03840555594863e-06
"Solyc10g007420.2.1",1.81389520242286,4.16618856210452,5.67248298534507e-07,6.39785802196663e-06
"Solyc12g019070.1.1",1.81331210564548,2.31037018061822,0.000221068220047791,0.0011921781937274
"Solyc09g014530.2.1",1.81190977915156,3.13104426364693,1.13134967303031e-05,9.08127811371178e-05
"Solyc07g026660.2.1",1.8105426069278,4.8443785839213,0.00101199250059353,0.00439782533739652
"Solyc01g006400.2.1",1.80923351076284,9.92258593605898,6.77408469053292e-09,1.15285071873528e-07
"Solyc09g075060.2.1",1.80922064622307,0.571013395972118,4.04303591174232e-05,0.000276539316789745
"Solyc06g007140.2.1",1.80916545040831,4.70033975569034,6.16007732028539e-07,6.88685837254713e-06
"Solyc11g005400.1.1",1.80899271881194,3.74339026358218,4.20115998574833e-07,4.91227376315252e-06
"Solyc03g005490.2.1",1.80873854774666,1.10741116036409,8.12729811593862e-06,6.75292814479348e-05
"Solyc03g083710.1.1",1.80710721164899,4.3110199550107,1.23579550784272e-06,1.27819588572677e-05
"Solyc10g079400.1.1",1.80650687832161,5.3244688251408,9.89587580515874e-09,1.63207251506935e-07
"Solyc08g005710.2.1",1.80630207779013,1.80268512718063,6.32467512105435e-07,7.04683690879591e-06
"Solyc10g005820.1.1",1.8049850217752,1.41423863618556,0.000657640329439556,0.0030541232879804
"Solyc02g085170.2.1",1.80284545563699,3.75687592995579,1.58365156048355e-05,0.000122448771314638
"Solyc01g103790.2.1",1.80236206295279,2.62003310477647,3.23758569558868e-05,0.000228604042605417
"Solyc12g042530.1.1",1.8018970169888,0.0334782236000618,0.000814078432199163,0.00367560978411356
"Solyc03g122230.1.1",1.80103102548296,5.15035744070791,1.25165451496486e-06,1.28990664435019e-05
"Solyc12g007170.1.1",1.80037308676839,8.20993213245946,1.30024651519776e-05,0.000102787578584258
"Solyc10g083850.1.1",1.80028324316393,3.1395524934227,1.23705312127446e-06,1.27892003853796e-05
"Solyc01g081120.2.1",1.79928265123332,3.63233990496288,4.01291197114062e-07,4.70896232889703e-06
"Solyc11g069350.1.1",1.79876805223276,7.35680384174423,3.24701742796791e-06,2.99035836270622e-05
"Solyc06g084170.2.1",1.79647215531424,3.8607749636994,0.000369047340561662,0.00185542735915518
"Solyc06g071780.2.1",1.79373554852467,4.86367795281259,1.89302957195654e-10,4.19594119905846e-09
"Solyc04g081090.2.1",1.79316416284226,8.07076074072629,1.98817821262865e-07,2.49375595275637e-06
"Solyc03g006270.2.1",1.79268039227296,7.2028396437401,2.6566820820785e-05,0.000192261651876855
"Solyc01g109580.2.1",1.79222979439607,5.85706408135429,2.3837593471804e-07,2.94009802062717e-06
"Solyc07g063930.2.1",1.79119432092884,7.69947506351678,1.45582508787567e-09,2.78317361174631e-08
"Solyc12g008860.1.1",1.79067660422673,0.41312726041556,0.000274300127285971,0.00143342123463951
"Solyc01g005110.2.1",1.78983610399932,4.47480620798807,2.90211069855096e-05,0.000207924177187563
"Solyc09g074230.2.1",1.78922089063403,4.5884191684831,8.50012517557352e-09,1.41305341777415e-07
"Solyc01g106400.2.1",1.78817498732306,1.47186010958553,0.000150633926145731,0.000857279310272691
"Solyc06g065180.2.1",1.78803045308361,8.26473420795914,1.1786159425378e-05,9.40147021479819e-05
"Solyc03g114600.2.1",1.78760308321971,3.25993873817894,3.38809772499557e-06,3.10656874137184e-05
"Solyc09g090540.2.1",1.78751687203184,4.74080312486736,9.39014197234797e-10,1.8673808989119e-08
"Solyc06g064610.1.1",1.78748276754213,3.18917545081527,9.8561504195309e-05,0.000596753620412928
"Solyc01g098440.1.1",1.78614801178749,3.58279060020141,1.32683505048477e-06,1.35464721375929e-05
"Solyc04g074330.2.1",1.78533352056735,1.5346428364833,0.000446351334488612,0.00218704527221342
"Solyc01g068410.2.1",1.78401466557612,5.40050809489107,1.88245784366941e-06,1.84948459921285e-05
"Solyc12g044910.1.1",1.78361808029144,4.61717713334155,1.67559034197833e-07,2.12962426788503e-06
"Solyc10g007240.1.1",1.78344544009626,4.54756073373692,3.00771682691988e-06,2.79918992804742e-05
"Solyc03g095630.1.1",1.78248016082981,-0.196333911568927,0.000344613287534784,0.00174428990891221
"Solyc09g008840.2.1",1.78215883107982,5.54123158615729,2.62321388706161e-08,3.96176101271102e-07
"Solyc06g071510.2.1",1.78214700529037,4.68527218430312,9.08964202369791e-06,7.46333134093249e-05
"Solyc12g044760.1.1",1.78185497612821,2.2732753977329,0.000199417380074314,0.00108976515395065
"Solyc05g054110.2.1",1.77927212218071,8.3143270493422,2.47782696348623e-05,0.00018062862526005
"Solyc03g121180.2.1",1.77894490208879,8.61150503612841,1.4975241748665e-09,2.85812829414412e-08
"Solyc03g120060.2.1",1.77843808373828,3.56492799931383,9.59235838572272e-07,1.01926027664134e-05
"Solyc06g067940.2.1",1.77793299732868,6.84213498891933,8.41356209243253e-06,6.97310433390516e-05
"Solyc08g005600.2.1",1.77785999587914,3.02015864964006,0.000106947965553611,0.000640264425304121
"Solyc04g074950.2.1",1.77736194644657,4.35482624764874,1.31328331640241e-10,2.9859298871742e-09
